2022-07-07 20:15:26:1526 | error : /api/package | POST | status: 400 | message : Bad request 
2022-07-07 20:17:23:1723 | error : Ip:::1 | path: /api/package | POST | status: 400 | message : Bad request 
2022-07-08 09:20:07:207 | error : Ip:::1 | path: /api/package | POST | status: 400 | message : Bad request 
2022-07-08 09:22:56:2256 | error : Ip:::1 | path: /api/package | POST | status: 400 | message : Bad request 
2022-07-08 09:23:21:2321 | error : Ip:::1 | path: /api/package | POST | status: 400 | message : Bad request 
2022-07-08 09:29:23:2923 | error : Ip:::1 | path: /api/package | POST | status: 400 | message : Bad request 
2022-07-08 09:36:07:367 | error : Ip:::1 | path: /api/package | POST | status: 400 | message : Bad request 
2022-07-08 09:38:22:3822 | error : Ip:::1 | path: /api/package | POST | status: 400 | message : Bad request 
2022-07-08 09:58:37:5837 | error : Ip:::1 | path: /api/package | POST | status: 400 | message : Bad request 
2022-07-08 09:59:08:598 | error : Ip:::1 | path: /api/package | POST | status: 400 | message : Bad request 
2022-07-08 10:00:10:010 | error : Ip:::1 | path: /api/package | POST | status: 400 | message : Bad request 
2022-07-08 10:00:22:022 | error : Ip:::1 | path: /api/package | POST | status: 400 | message : Bad request 
2022-07-08 10:02:34:234 | error : Ip:::1 | path: /api/package | POST | status: 400 | message : Bad request 
2022-07-08 10:05:55:555 | error : Ip:::1 | path: /api/package | POST | status: 400 | message : Bad request 
2022-07-08 10:06:24:624 | error : Ip:::1 | path: /api/package | POST | status: 400 | message : Bad request 
2022-07-08 10:07:13:713 | error : Ip:::1 | path: /api/package | POST | status: 400 | message : Bad request 
2022-07-08 10:34:03:343 | error : Ip:::1 | path: /api/package | POST | status: 400 | message : Bad request 
2022-07-08 10:37:23:3723 | error : Ip:::1 | path: /api/package | POST | status: 400 | message : Bad request 
2022-07-08 10:39:37:3937 | error : Ip:::1 | path: /api/package | POST | status: 400 | message : Bad request 
2022-07-08 11:06:51:651 | error : Ip:::1 | path: /api/package | POST | status: 400 | message : Bad request 
2022-07-08 11:07:56:756 | error : Ip:::1 | path: /api/package | POST | status: 400 | message : Bad request 
2022-07-08 11:08:23:823 | error : Ip:::1 | path: /api/package | POST | status: 400 | message : Bad request 
